timestamp,open,high,low,close,bb_mid,bb_upper,bb_lower,bb_width_pips,timestamp_ny
2024-02-02 02:00:00+00:00,1.08716,1.08745,1.08716,1.08736,1.08721,1.087624149731368,1.086795850268632,8.28299462736215,2024-02-01 21:00:00-05:00
2024-02-02 02:05:00+00:00,1.08736,1.0874,1.08728,1.08734,1.087218,1.0876637084248617,1.0867722915751383,8.914168497229369,2024-02-01 21:05:00-05:00
2024-02-02 02:10:00+00:00,1.08734,1.08734,1.08714,1.08729,1.087246,1.0876794789498851,1.0868125210501147,8.669578997704264,2024-02-01 21:10:00-05:00
2024-02-02 02:15:00+00:00,1.08728,1.08732,1.08724,1.0873,1.08729,1.0875694279871364,1.087010572012863,5.588559742730759,2024-02-01 21:15:00-05:00
2024-02-02 02:20:00+00:00,1.08731,1.08738,1.08728,1.08728,1.087314,1.0874368983319491,1.0871911016680504,2.4579666389890065,2024-02-01 21:20:00-05:00
2024-02-02 02:25:00+00:00,1.0873,1.08738,1.08727,1.08738,1.0873180000000002,1.087466377895915,1.0871696221040854,2.967557918296393,2024-02-01 21:25:00-05:00
2024-02-02 02:30:00+00:00,1.08736,1.08748,1.08734,1.08742,1.087334,1.0875568542124276,1.0871111457875724,4.457084248552512,2024-02-01 21:30:00-05:00
2024-02-02 02:35:00+00:00,1.08738,1.08742,1.08724,1.08725,1.087326,1.087580998039201,1.087071001960799,5.099960784020752,2024-02-01 21:35:00-05:00
2024-02-02 02:40:00+00:00,1.08726,1.08743,1.08725,1.0874,1.087346,1.0876179999999944,1.0870740000000054,5.439999999889977,2024-02-01 21:40:00-05:00
2024-02-02 02:45:00+00:00,1.08742,1.0876,1.08736,1.0876,1.08741,1.0878582856232344,1.0869617143767656,8.965712464688025,2024-02-01 21:45:00-05:00
2024-02-02 02:50:00+00:00,1.08759,1.08777,1.08758,1.08776,1.0874859999999995,1.088191453045922,1.0867805469540774,14.10906091844577,2024-02-01 21:50:00-05:00
2024-02-02 02:55:00+00:00,1.08778,1.08788,1.0877,1.08786,1.087574,1.0884725677492564,1.0866754322507437,17.97135498512681,2024-02-01 21:55:00-05:00
2024-02-02 03:00:00+00:00,1.08785,1.0879,1.08772,1.08776,1.087676,1.0883207821337526,1.0870312178662471,12.89564267505483,2024-02-01 22:00:00-05:00
2024-02-02 03:05:00+00:00,1.08778,1.08786,1.08776,1.08778,1.087752,1.0880898993933237,1.0874141006066766,6.757987866468085,2024-02-01 22:05:00-05:00
2024-02-02 03:10:00+00:00,1.0878,1.08782,1.08765,1.0877,1.087772,1.087978145579649,1.087565854420351,4.1229115929786175,2024-02-01 22:10:00-05:00
2024-02-02 03:15:00+00:00,1.08774,1.08775,1.0875,1.08751,1.087722,1.0881928460470338,1.0872511539529663,9.4169209406747,2024-02-01 22:15:00-05:00
2024-02-02 03:20:00+00:00,1.0875,1.08759,1.08748,1.08755,1.08766,1.0881003634862303,1.0872196365137696,8.80726972460888,2024-02-01 22:20:00-05:00
2024-02-02 03:25:00+00:00,1.08756,1.08756,1.08744,1.08748,1.087604,1.088068137910543,1.087139862089457,9.28275821086011,2024-02-01 22:25:00-05:00
2024-02-02 03:30:00+00:00,1.08747,1.08755,1.08742,1.08745,1.087538,1.0878879942856698,1.08718800571433,6.9998857133990455,2024-02-01 22:30:00-05:00
2024-02-02 03:35:00+00:00,1.08742,1.08749,1.08733,1.08739,1.087476,1.0876930345594604,1.0872589654405398,4.340691189206325,2024-02-01 22:35:00-05:00
2024-02-02 03:40:00+00:00,1.08738,1.08742,1.08734,1.08739,1.087452,1.087692532742053,1.0872114672579472,4.8106548410586925,2024-02-01 22:40:00-05:00
2024-02-02 03:45:00+00:00,1.08738,1.08757,1.08736,1.08754,1.08745,1.0876776839915308,1.0872223160084693,4.553679830614499,2024-02-01 22:45:00-05:00
2024-02-02 03:50:00+00:00,1.08755,1.08769,1.08755,1.08768,1.08749,1.0879289077351793,1.0870510922648209,8.778154703583674,2024-02-01 22:50:00-05:00
2024-02-02 03:55:00+00:00,1.08767,1.08771,1.08765,1.08768,1.087536,1.088054829451748,1.087017170548252,10.376589034959416,2024-02-01 22:55:00-05:00
2024-02-02 04:00:00+00:00,1.08767,1.08775,1.08764,1.08768,1.087594,1.0880560649305049,1.0871319350694952,9.241298610094262,2024-02-01 23:00:00-05:00
2024-02-02 04:05:00+00:00,1.08767,1.08771,1.08758,1.08766,1.087648,1.0878662109071602,1.0874297890928395,4.364218143204646,2024-02-01 23:05:00-05:00
2024-02-02 04:10:00+00:00,1.08765,1.08766,1.08756,1.08758,1.087656,1.0878111257554497,1.0875008742445504,3.102515108990289,2024-02-01 23:10:00-05:00
2024-02-02 04:15:00+00:00,1.0876,1.08768,1.08756,1.08766,1.087652,1.0878003778959406,1.0875036221040597,2.9675579188115364,2024-02-01 23:15:00-05:00
2024-02-02 04:20:00+00:00,1.08768,1.08768,1.08752,1.08754,1.087624,1.0878410345594678,1.0874069654405325,4.340691189352874,2024-02-01 23:20:00-05:00
2024-02-02 04:25:00+00:00,1.08752,1.08754,1.0874,1.0874,1.087568,1.087952000000003,1.0871839999999968,7.680000000060971,2024-02-01 23:25:00-05:00
2024-02-02 04:30:00+00:00,1.08743,1.08746,1.08734,1.08737,1.08751,1.0879481780460056,1.0870718219539943,8.7635609201131,2024-02-01 23:30:00-05:00
2024-02-02 04:35:00+00:00,1.08736,1.08746,1.08734,1.08742,1.0874780000000002,1.087909110194731,1.0870468898052694,8.622203894614877,2024-02-01 23:35:00-05:00
2024-02-02 04:40:00+00:00,1.08743,1.08746,1.08733,1.08734,1.087414,1.087688342851191,1.0871396571488088,5.486857023822012,2024-02-01 23:40:00-05:00
2024-02-02 04:45:00+00:00,1.08734,1.08734,1.08722,1.08725,1.087356,1.0875941260170552,1.0871178739829448,4.762520341103915,2024-02-01 23:45:00-05:00
2024-02-02 04:50:00+00:00,1.08726,1.0874,1.08722,1.08734,1.087344,1.087565413640046,1.0871225863599543,4.428272800915956,2024-02-01 23:50:00-05:00
2024-02-02 04:55:00+00:00,1.08736,1.08746,1.0873,1.08732,1.087334,1.0875510345594557,1.0871169654405444,4.340691189113066,2024-02-01 23:55:00-05:00
