timestamp,open,high,low,close,timestamp_ny,bb_mid,bb_std,bb_upper,bb_lower,bb_width_pips
2024-02-05 02:35:00+00:00,1.07806,1.07807,1.07786,1.07786,2024-02-04 21:35:00-05:00,1.077946,7.631513643879663e-05,1.0782512605457553,1.0776407394542449,6.105210915103854
2024-02-05 02:40:00+00:00,1.07786,1.07787,1.0777,1.07781,2024-02-04 21:40:00-05:00,1.077934,9.068627266416713e-05,1.0782967450906566,1.0775712549093432,7.25490181313404
2024-02-05 02:45:00+00:00,1.07784,1.07793,1.0778,1.0778,2024-02-04 21:45:00-05:00,1.077906,0.00010499523822447809,1.078325980952898,1.077486019047102,8.399619057959384
2024-02-05 02:50:00+00:00,1.07777,1.0778,1.07756,1.07761,2024-02-04 21:50:00-05:00,1.0778279999999998,0.0001438610442409594,1.0784034441769637,1.077252555823036,11.50888353927737
2024-02-05 02:55:00+00:00,1.0776,1.07801,1.0776,1.0779,2024-02-04 21:55:00-05:00,1.077796,9.97196071503149e-05,1.0781948784286013,1.0773971215713987,7.97756857202625
2024-02-05 03:00:00+00:00,1.07789,1.07797,1.07766,1.07796,2024-02-04 22:00:00-05:00,1.0778159999999999,0.0001187602629255224,1.078291041051702,1.0773409589482978,9.500821034040818
2024-02-05 03:05:00+00:00,1.07795,1.0781,1.07792,1.07795,2024-02-04 22:05:00-05:00,1.077844,0.00013001538389757918,1.0783640615355903,1.0773239384644098,10.401230711805098
2024-02-05 03:10:00+00:00,1.07796,1.07796,1.07763,1.0777,2024-02-04 22:10:00-05:00,1.0778240000000001,0.00014235167737018583,1.078393406709481,1.0772545932905193,11.38813418961604
2024-02-05 03:15:00+00:00,1.0777,1.07788,1.07765,1.07774,2024-02-04 22:15:00-05:00,1.0778500000000002,0.00010881176429966163,1.0782852470571989,1.0774147529428015,8.704941143973244
2024-02-05 03:20:00+00:00,1.07774,1.07774,1.07746,1.07756,2024-02-04 22:20:00-05:00,1.077782,0.00015341447144985525,1.0783956578857994,1.0771683421142006,12.27315771598736
2024-02-05 03:25:00+00:00,1.07755,1.07773,1.07755,1.07761,2024-02-04 22:25:00-05:00,1.077712,0.00013496666273746453,1.07825186665095,1.07717213334905,10.797333018999211
2024-02-05 03:30:00+00:00,1.07762,1.07786,1.07761,1.07776,2024-02-04 22:30:00-05:00,1.077674,7.683749117867454e-05,1.0779813499647146,1.0773666500352854,6.146999294291966
2024-02-05 03:35:00+00:00,1.07776,1.0778,1.07768,1.07776,2024-02-04 22:35:00-05:00,1.0776860000000001,8.428523032294771e-05,1.078023140921292,1.0773488590787084,6.742818425835573
2024-02-05 03:40:00+00:00,1.07776,1.0779,1.07774,1.07785,2024-02-04 22:40:00-05:00,1.0777079999999999,0.00010684568334996385,1.0781353827333997,1.0772806172666,8.54765466799634
2024-02-05 03:45:00+00:00,1.07786,1.078,1.0778,1.07788,2024-02-04 22:45:00-05:00,1.077772,9.410632311551111e-05,1.078148425292462,1.0773955747075379,7.528505849241363
2024-02-05 03:50:00+00:00,1.07789,1.0781,1.07789,1.07808,2024-02-04 22:50:00-05:00,1.077866,0.00011723480733139321,1.0783349392293256,1.0773970607706744,9.378784586511202
2024-02-05 03:55:00+00:00,1.07808,1.07808,1.07786,1.0779,2024-02-04 22:55:00-05:00,1.077894,0.00010461357488369011,1.0783124542995346,1.0774755457004652,8.369085990693748
2024-02-05 04:00:00+00:00,1.07792,1.07792,1.07772,1.07774,2024-02-04 23:00:00-05:00,1.07789,0.00010990905353955561,1.0783296362141583,1.0774503637858417,8.792724283166464
2024-02-05 04:05:00+00:00,1.07776,1.078,1.07774,1.07796,2024-02-04 23:05:00-05:00,1.077912,0.0001107068202501683,1.0783548272810006,1.0774691727189993,8.856545620012923
2024-02-05 04:10:00+00:00,1.07795,1.07798,1.07778,1.0778,2024-02-04 23:10:00-05:00,1.077896,0.00011959933131058382,1.0783743973252422,1.0774176026747577,9.567946504844826
2024-02-05 04:15:00+00:00,1.07781,1.0779,1.07777,1.07788,2024-02-04 23:15:00-05:00,1.077856,7.735631874672774e-05,1.0781654252749868,1.077546574725013,6.1885054997379285
